"SYMBOL","ORDER_NO","STATEMENT_DATE","SELLING_GENERAL_AND_ADMINIST","EXTRAORDINARY_ITEMS","GROSS_PROFIT","EFFECT_OF_ACCOUNTING_CHANGES","OTHER_ITEMS","TOTAL_OPERATING_EXPENSES","TOTAL_OTHER_INCOM_TO_EXPEN_NET","PREFER_STOCK_AND_OTHER_ADJUSTM","INCOME_TAX_EXPENSE","TOTAL_REVENUE","NET_INCOME","COST_OF_REVENUE","RESEARCH_DEVELOPMENT","OTHERS","OPERATING_INCOME_OR_LOSS","DISCONTINUED_OPERATIONS","EARNIN_BEFORE_INTERE_AND_TAXES","INCOME_BEFORE_TAX","MINORITY_INTEREST","NET_INCOM_APPLI_TO_COMMO_SHARE","NON_RECURRING","INTEREST_EXPENSE","NET_INCOME_FROM_CONTINUING_OPS"
"TCB",2,31-DEC-15,"855338","","","","","","","-19388","108872","1333928","197123","48226","","92353","","","338011","314695","16001","177735","","23316","197123"
"TCB+",0,31-DEC-13,"811900","","","","","","","-19065","84345","1268598","151668","36604","","142868","","","268357","243045","11791","132603","8869","25312","151668"
"TCB+",1,31-DEC-14,"844625","","","","","","","-19388","99766","1307496","174187","38385","","122889","","","301597","281382","13715","154799","","20215","174187"
"TCB+",2,31-DEC-15,"855338","","","","","","","-19388","108872","1333928","197123","48226","","92353","","","338011","314695","16001","177735","","23316","197123"
"TCBI",0,31-DEC-13,"238625","","","","","","","-7394","66757","488649","121051","14030","","19000","","","198890","187808","","113657","18104","11082","121051"
"TCBI",1,31-DEC-14,"263932","","","","","","","-9750","76010","557058","136352","18145","","22000","","","231799","212362","","126602","21182","19437","136352"
"TCBI",2,31-DEC-15,"304373","","","","","","","-9750","79641","650696","144854","24578","","53250","","","246345","224495","","135104","22150","21850","144854"
"TCBK",0,31-DEC-13,"93604","","","","","","","","18405","143389","27399","3445","","-715","","","47055","45804","","27399","","1251","27399"
"TCBK",1,31-DEC-14,"110379","","","","","","","","18508","155631","26108","3274","","-4045","","","46023","44616","","26108","","1407","26108"
"TCBK",2,31-DEC-15,"130841","","","","","","","","28896","206761","43818","3434","","-2210","","","74696","72714","","43818","","1982","43818"
"TCCO",0,28-SEP-13,"2956","","4140","","","","33","","-799","6250","-714","2109","2729","","-1546","","-1513","-1513","","-714","","","-714"
"TCCO",1,27-SEP-14,"2980","","4105","","","","30","","990","6139","-2565","2034","2729","","-1605","","-1575","-1575","","-2565","","","-2565"
"TCCO",2,03-OCT-15,"2940","","3365","","","","18","","-35","5942","-1822","2577","2300","","-1875","","-1857","-1857","","-1822","","","-1822"
"TCFC",0,31-DEC-13,"24079","","","","","","","-200","3771","43852","6651","5581","","1705","","","12487","10422","","6451","","2065","6651"
"TCFC",1,31-DEC-14,"25482","","","","","","","-200","3776","45852","6490","4586","","3406","","","12378","10266","","6290","","2112","6490"
"TCFC",2,31-DEC-15,"27608","","","","","","","-23","3633","47172","6343","4152","","2243","","","13169","9976","","6320","","3193","6343"
"TCI",0,31-DEC-13,"18891","","40682","","","","-5251","-1110","-40949","77351","58530","36669","","15842","-5371","61630","-10794","-43070","17796","57420","11320","32276","-2121"
"TCI",1,31-DEC-14,"18205","","36374","","","","13853","-1005","-20390","75858","41578","39484","","17398","771","37868","14596","-16281","18164","40573","","30877","4109"
"TCI",2,31-DEC-15,"14063","","49963","","","","24361","-900","517","102220","-7636","52257","","21299","9301","896","33703","-7883","18307","-8536","5300","41586","-8400"
"TCK",0,31-DEC-13,"324000","","2283000","","","","6000","","596000","8830000","951000","6547000","98000","","1861000","","1865000","1546000","201000","951000","","319000","949000"
"TCK",1,31-DEC-14,"334000","","1325000","","","","-15000","","295000","7424000","330000","6099000","77000","","905000","","887000","625000","199000","330000","10000","262000","327000"
"TCK",2,31-DEC-15,"319000","","921000","","","","-60000","","-602000","5946000","-1788000","5025000","89000","","-2101000","","-2163000","-2390000","166000","-1788000","2614000","227000","-1790000"
"TCO",0,31-DEC-13,"121249","","546008","","","","1348","-22682","3409","767154","132590","221146","","155772","268987","","270335","140312","-95533","109908","","130023","132590"
"TCO",1,31-DEC-14,"113434","","482790","","","","-42807","-29156","2267","679129","893013","196339","","120207","245443","1106554","202636","111833","101580","863857","3706","90803","-213541"
"TCO",2,31-DEC-15,"103858","","406140","","","","5256","-25107","2248","557172","134127","151032","","106355","195927","437","201183","138142","8004","109020","","63041","133690"
"TCON",0,31-DEC-13,"1484","","","","","","-118","-248","","","-7708","","6076","","-7560","","-7678","-7708","","-7956","","30","-7708"
"TCON",1,31-DEC-14,"2125","","3598","","","","37","-297","","3598","-6809","","7652","","-6179","","-6142","-6809","","-7106","","667","-6809"
"TCON",2,31-DEC-15,"5691","","7904","","","","-20","-31","","7904","-24410","","25680","","-23467","","-23487","-24410","","-24441","","923","-24410"
"TRU",0,31-DEC-13,"353300","","709300","","","","-11200","","2300","1183200","-35100","473900","","186800","169200","","171700","-25900","86600","-35100","","197600","-21400"
"TRU",1,31-DEC-14,"434900","","804500","","","","47300","","2600","1304700","-12500","500200","","241200","128400","","188200","-1800","160600","-12500","","190000",""
"TRU",2,31-DEC-15,"499700","","975200","","","","-45100","","11300","1506800","5900","531600","","278400","197100","","160800","26600","135600","5900","","134200","14700"
"TRUE",0,31-DEC-13,"106037","","118663","","","","139","","579","133958","-25056","15295","23685","11569","-22628","","-22489","-24477","","-25056","","1988","-25056"
"TRUE",1,31-DEC-14,"186865","","189136","","","","96","","640","206649","-48429","17513","36563","13213","-47505","","-47409","-47789","","-48429","","380","-48429"
"TRUE",2,31-DEC-15,"234496","","236181","","","","120","","606","259838","-64911","23657","48021","17646","-63982","","-63862","-64305","","-64911","","443","-64911"
"TRUP",0,31-DEC-13,"17743","","15644","","","","-671","","-92","83829","-8175","68185","4888","","-6987","","-7658","-8267","","-8175","","609","-8175"
"TRUP",1,31-DEC-14,"25920","","19874","","","","1487","","-7","115910","-21177","96036","9899","","-15945","","-14458","-21184","","-21177","","6726","-21177"
"TRUP",2,31-DEC-15,"30789","","25229","","","","9","","114","146963","-17205","121734","11215","","-16775","","-16766","-17091","","-17205","","325","-17205"
"TRV",0,31-DEC-13,"3757000","","12884000","","","","","","1272000","26191000","3673000","13307000","","3821000","4945000","","5306000","4945000","","3673000","","361000","3673000"
"TRV",1,31-DEC-14,"3952000","","13292000","","","","","","1397000","27162000","3692000","13870000","","3882000","5089000","","5458000","5089000","","3692000","","369000","3692000"
"TRV",2,31-DEC-15,"4079000","","13077000","","","","","","1301000","26800000","3439000","13723000","","3885000","4740000","","5113000","4740000","","3439000","","373000","3439000"
"TRVN",0,31-DEC-13,"4718","","135","","","","244","-334","","135","-23251","","18762","","-23345","","-23102","-23251","","-23585","","150","-23251"
"TRVN",1,31-DEC-14,"9403","","","","","","320","-29","","","-49701","","40547","","-49950","","-49630","-49701","","-49729","","71","-49701"
"TRVN",2,31-DEC-15,"12797","","6250","","","","427","","","6250","-50528","","44074","","-50621","","-50194","-50528","","-50528","","334","-50528"
"TRX",0,31-AUG-13,"4479","","","","","","1675","","-72","","-3058","","","274","-4753","","-3078","-3131","1971","-3058","","53","-3058"
"TRX",1,31-AUG-14,"4063","","","","","","2038","","20","","-2227","","","238","-4301","","-2198","-2203","1513","-2227","","4","-2223"
"TRX",2,31-AUG-15,"2706","","","","","","-3021","","","","-6761","","","289","-2995","","-5288","-6025","1143","-6761","","736","-6025"
"TRXC",0,31-DEC-13,"5664","","-3379","","","22225","-1800","","","1431","-28358","4810","12700","500","-25604","","-27404","-28358","","-28358","3361","954","-28358"
"TRXC",1,31-DEC-14,"7468","","-694","","","","","","","401","-37652","1095","27944","503","-36609","","-36609","-37652","","-37652","","1043","-37652"
"TRXC",2,31-DEC-15,"10286","","","","","46371","","","-1024","","-46948","","29669","2185","-46371","","-46371","-47972","","-46948","4231","1601","-46948"
"TS",0,31-DEC-13,"1955165","","4139995","","","","41771","","627877","10596781","1574372","6456786","","","2184830","","2272699","2202249","179446","1574372","","70450","1620470"
"TS",1,31-DEC-14,"2151686","","4050502","","","","77425","","586061","10337962","1181176","6287460","","","1898816","","1811625","1767237","152200","1181176","","44388","1016560"
"TS",2,31-DEC-15,"2020247","","2215675","","","","37268","","244505","7100753","-74425","4885078","","","195428","","193138","170080","152712","-74425","","23058","-113983"
"TSBK",0,30-SEP-13,"25864","","","","","","","-738","2514","40499","4757","2568","","2925","","","9142","7271","","4019","","1871","4757"
"TSBK",1,30-SEP-14,"25798","","","","","","","-206","2800","38387","5850","2066","","","","","10523","8650","","5644","","1873","5850"
"TSBK",2,30-SEP-15,"25841","","","","","","","","4192","40690","8292","2004","","-1525","","","14370","12484","","8292","","1886","8292"
"TSC",0,31-DEC-13,"40815","","","","","","","","5713","78649","12867","10981","","8187","","","18666","18580","","12867","","86","12867"
"TSC",1,31-DEC-14,"61414","","","","","","","","6969","109634","15928","10611","","11458","","","24537","22897","","15928","1614","1640","15928"
"TSC",2,31-DEC-15,"68485","","","","","","","","10892","119079","22488","12888","","1571","","","36135","33380","","22488","","2755","22488"
"TSCO",0,28-DEC-13,"1138934","","1753609","","","","","","185859","5164784","328234","3411175","","100025","514650","","514650","514093","","328234","","557","328234"
"TSCO",1,27-DEC-14,"1246308","","1950415","","","","","","216702","5711715","370885","3761300","","114635","589472","","589472","587587","","370885","","1885","370885"
